city_name,state_name,country_name
Bhopal,Madhya Pradesh,India
Aurangabad,Maharashtra,India
Nagpur,Maharashtra,India
Rohtak,Haryana,India
Tumakuru,Karnataka,India
Jaipur,Rajasthan,India
Indore,Madhya Pradesh,India
Sonipat,Haryana,India
Navi Mumbai,Maharashtra,India
Thane,Maharashtra,India
Chennai,Tamil Nadu,India
Hyderabad,Telangana,India
Bangalore | Bengaluru,Karnataka,India
Mumbai,Maharashtra,India
Dubai,Dubai,UAE
Jhajjar,Haryana,India
Alwar,Rajasthan,India
Pune,Maharashtra,India
Ghaziabad,Uttar Pradesh,India
Faridabad,Haryana,India
Gurgaon | Gurugram,Haryana,India
Noida,Uttar Pradesh,India
Greater Noida West,Uttar Pradesh,India
Greater Noida,Uttar Pradesh,India
Lucknow,Uttar Pradesh,India
Delhi,Delhi,India
